,industry_x,pe,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,labels_result,index,code,name,industry_y
185,9,9.5,0.59,0.25,2.83,1.58,20110630,32.58,1.21,-4.15,25.26,27.72,9.34,50055.0,1,601058,601058,赛轮轮胎,汽车配件
186,15,13.97,4.17,2.4,8.36,6.69,20200415,3.93,2.94,0.0,0.0,62.17,44.63,25031.0,6,002980,002980,华盛昌,电器仪表
187,5,15.59,2.61,0.14800000000000002,2.92,1.58,20000926,-10.7,-0.84,1.36,-18.01,40.52,19.17,34196.0,3,000155,000155,川能动力,新型电力
188,31,17.11,1.08,0.41100000000000003,6.81,2.06,20161109,33.63,4.45,-22.23,-23.19,66.35,51.13,23918.0,8,002818,002818,富森美,其他商业
189,7,23.36,5.08,0.73,10.88,3.04,20170111,7.03,5.02,-19.9,-27.65,32.21,11.28,10099.0,7,603579,603579,荣泰健康,医疗保健
190,55,8.79,0.98,0.37,5.59,1.31,19961218,134.72,3.29,7.15,17.53,26.5,7.06,39339.0,0,000671,000671,阳 光 城,区域地产
191,18,24.33,2.25,0.204,4.45,2.23,20161222,3.13,1.09,51.23,101.61,22.38,5.54,22485.0,1,603577,603577,汇金通,钢加工
192,41,18.86,1.07,0.49,4.02,4.37,20151222,8.8,1.87,37.82,92.0,44.21,26.86,32701.0,1,300497,300497,富祥药业,化学制药
193,20,21.5,0.0,0.11800000000000001,1.41,3.6,19991216,11.14,0.8,-15.74,-24.38,36.41,12.47,38295.0,1,600217,600217,中再资环,环境保护
194,65,16.72,1.1,0.308,6.96,1.48,19970617,41.94,4.04,-46.8,-42.31,44.48,76.15,31032.0,8,000828,000828,东莞控股,路桥
195,66,17.02,1.69,0.18,0.75,10.34,19940103,-23.86,-1.67,-7.27,517.03,45.16,11.41,123640.0,8,600804,600804,鹏博士,电信运营
196,25,16.49,0.82,0.473,5.19,3.01,20161227,25.32,2.92,11.04,17.72,20.75,8.01,25395.0,1,603298,603298,杭叉集团,专用机械
197,21,14.31,0.83,0.095,2.49,1.09,20010319,13.94,0.55,59.71,128.53,19.88,8.68,30555.0,3,600393,600393,粤泰股份,全国地产
